"experiment","condition","id","parameter","model","RMSD","PEARSON"
"E1","3",3,1,"weight_window_create",0.3038218101251,0.938911499741684
"E1","3",3,1,"weight_linear_create",0.312147236790425,0.941873807705371
"E1","3",3,2,"weight_window_create",0.366899692852671,0.915417703732275
"E1","3",3,2,"weight_linear_create",0.35582254932717,0.920649574679858
"E1","3",3,3,"weight_window_create",0.405938819018734,0.88664123944302
"E1","3",3,3,"weight_linear_create",0.374156601429351,0.909293928836292
"E1","3",6,1,"weight_window_create",1.99692070641082,0.33557660000979
"E1","3",6,1,"weight_linear_create",1.09513297791466,0.393165871504284
"E1","3",6,2,"weight_window_create",0.769615288509585,0.40540474113901
"E1","3",6,2,"weight_linear_create",0.710492786733265,0.326508996334863
"E1","3",6,3,"weight_window_create",0.690100946412419,0.385171828171671
"E1","3",6,3,"weight_linear_create",0.809230716172594,0.0946672330324616
"E1","3",6,4,"weight_window_create",0.848414811461759,0.0598671790811784
"E1","3",6,4,"weight_linear_create",0.881651150883504,0.0137019351648567
"E1","3",6,5,"weight_window_create",0.971469940941997,-0.0780005091233954
"E1","3",6,5,"weight_linear_create",0.920452426019945,-0.0208623514525988
"E1","3",6,6,"weight_window_create",1.03992932041221,-0.103450438019569
"E1","3",6,6,"weight_linear_create",0.944156598833813,-0.039790525280711
"E1","1",3,1,"weight_window_create",0.652771867585538,0.557930105530225
"E1","1",3,1,"weight_linear_create",0.479969134810115,0.702236963608751
"E1","1",3,2,"weight_window_create",0.431888617328331,0.757576827715534
"E1","1",3,2,"weight_linear_create",0.366273638965218,0.828863232529401
"E1","1",3,3,"weight_window_create",0.33655847179691,0.864724453072881
"E1","1",3,3,"weight_linear_create",0.351603030928382,0.846641824627947
"E1","1",6,1,"weight_window_create",0.91712109947984,0.498278205313852
"E1","1",6,1,"weight_linear_create",0.823085132779392,0.384654018629919
"E1","1",6,2,"weight_window_create",0.824368445134415,0.298845164021762
"E1","1",6,2,"weight_linear_create",0.494373902583415,0.579247971894729
"E1","1",6,3,"weight_window_create",0.602259121460785,0.604957168220318
"E1","1",6,3,"weight_linear_create",0.449388599520153,0.635679979285022
"E1","1",6,4,"weight_window_create",0.453688586293873,0.668525153694915
"E1","1",6,4,"weight_linear_create",0.443304322761834,0.64728112685471
"E1","1",6,5,"weight_window_create",0.428304149459755,0.669157129450868
"E1","1",6,5,"weight_linear_create",0.442795707306179,0.650712760594728
"E1","1",6,6,"weight_window_create",0.449073119510249,0.652270524942664
"E1","1",6,6,"weight_linear_create",0.443185351022147,0.65203992866994
"E1","2a",3,1,"weight_window_create",0.546504040851179,0.290454043598625
"E1","2a",3,1,"weight_linear_create",0.396746023807936,0.55060725555145
"E1","2a",3,2,"weight_window_create",0.354259791678367,0.650352745385677
"E1","2a",3,2,"weight_linear_create",0.259613514584146,0.808315179611132
"E1","2a",3,3,"weight_window_create",0.246456366809098,0.832952196460151
"E1","2a",3,3,"weight_linear_create",0.248330723327075,0.826872475426859
"E1","2a",6,1,"weight_window_create",0.868715526893969,0.116710787301323
"E1","2a",6,1,"weight_linear_create",0.666555546294753,0.205836537312133
"E1","2a",6,2,"weight_window_create",0.889006936605859,0.248171577832848
"E1","2a",6,2,"weight_linear_create",0.53654449955246,0.390345197285971
"E1","2a",6,3,"weight_window_create",0.56358639943635,0.417222298109005
"E1","2a",6,3,"weight_linear_create",0.486906411298483,0.474679551637192
"E1","2a",6,4,"weight_window_create",0.479756882875761,0.492856803039151
"E1","2a",6,4,"weight_linear_create",0.498263283171867,0.501174732634401
"E1","2a",6,5,"weight_window_create",0.501384749136496,0.530493777816325
"E1","2a",6,5,"weight_linear_create",0.510107549379693,0.511125467355562
"E1","2a",6,6,"weight_window_create",0.56134758493389,0.529121812063017
"E1","2a",6,6,"weight_linear_create",0.518728745728062,0.516087367122911
"E1","5b",3,1,"weight_window_create",0.640312423743285,0.577517339577868
"E1","5b",3,1,"weight_linear_create",0.515859584684739,0.656892893978414
"E1","5b",3,2,"weight_window_create",0.480884601541784,0.682431709063157
"E1","5b",3,2,"weight_linear_create",0.402538242949707,0.777754127566801
"E1","5b",3,3,"weight_window_create",0.358623913189167,0.823499415507778
"E1","5b",3,3,"weight_linear_create",0.383637560436641,0.797675891337866
"E1","5b",9,1,"weight_window_create",0.95,0.579798842059407
"E1","5b",9,1,"weight_linear_create",0.93571125650788,0.574934622268164
"E1","5b",9,2,"weight_window_create",0.935748363610645,0.565127377011724
"E1","5b",9,2,"weight_linear_create",0.677550736107636,0.598027836722424
"E1","5b",9,3,"weight_window_create",0.887881373457814,0.562695427405808
"E1","5b",9,3,"weight_linear_create",0.495112163475882,0.604325155148675
"E1","5b",9,4,"weight_window_create",0.51280478741915,0.598783677933448
"E1","5b",9,4,"weight_linear_create",0.474772525128913,0.61730886650722
"E1","5b",9,5,"weight_window_create",0.696634768009751,0.555357985753205
"E1","5b",9,5,"weight_linear_create",0.45976674470171,0.629374868157483
"E1","5b",9,6,"weight_window_create",0.560009920547048,0.593278413168794
"E1","5b",9,6,"weight_linear_create",0.453869253621256,0.634307911295773
"E1","5b",9,7,"weight_window_create",0.490418396964911,0.614745632399576
"E1","5b",9,7,"weight_linear_create",0.450870214826045,0.636846999993955
"E1","5b",9,8,"weight_window_create",0.458768732587564,0.625056316155564
"E1","5b",9,8,"weight_linear_create",0.449100801037423,0.638348381373577
"E1","5b",9,9,"weight_window_create",0.443088208479787,0.64327950253687
"E1","5b",9,9,"weight_linear_create",0.447951019530273,0.639322081612733
"E1","5b",6,1,"weight_window_create",1.09201648339208,0.55158639205127
"E1","5b",6,1,"weight_linear_create",1.11430097669645,0.56672257560134
"E1","5b",6,2,"weight_window_create",1.15298525576002,0.5670470489809
"E1","5b",6,2,"weight_linear_create",0.711898869222307,0.599123675172358
"E1","5b",6,3,"weight_window_create",0.711024300256718,0.604871280712098
"E1","5b",6,3,"weight_linear_create",0.862368331005955,0.578167587357071
"E1","5b",6,4,"weight_window_create",0.91361233573108,0.540903162186014
"E1","5b",6,4,"weight_linear_create",0.991595768005191,0.53926273952131
"E1","5b",6,5,"weight_window_create",1.09270307037182,0.521534391116363
"E1","5b",6,5,"weight_linear_create",1.05961616623808,0.513799295686897
"E1","5b",6,6,"weight_window_create",1.26389499388025,0.420813544783441
"E1","5b",6,6,"weight_linear_create",1.10073879048921,0.496891793604002
"E1","7",3,1,"weight_window_create",0.381246425831512,0.881672466032614
"E1","7",3,1,"weight_linear_create",0.274356187882572,0.939470705449664
"E1","7",3,2,"weight_window_create",0.270228155109629,0.941658943139975
"E1","7",3,2,"weight_linear_create",0.200351399593259,0.969529083534321
"E1","7",3,3,"weight_window_create",0.194165543796866,0.971143758563579
"E1","7",3,3,"weight_linear_create",0.194819203272738,0.971250550699401
"E1","7",9,1,"weight_window_create",0.537652087731333,0.747537694833099
"E1","7",9,1,"weight_linear_create",0.491504046158504,0.78212006815209
"E1","7",9,2,"weight_window_create",0.49356321901332,0.777821162654228
"E1","7",9,2,"weight_linear_create",0.433125471911552,0.771686296877603
"E1","7",9,3,"weight_window_create",0.466694351338282,0.77573482804613
"E1","7",9,3,"weight_linear_create",0.474646324689081,0.737419095762559
